"fips","0-4","5-17","18-49","50-64","65+"
"10148","800","800","800","800","800"
"10149","800","800","800","800","800"
"10150","800","800","800","800","800"
"10151","800","800","800","800","800"
"10152","800","800","800","800","800"
"10153","800","800","800","800","800"
"10154","800","800","800","800","800"
"10155","800","800","800","800","800"
"10156","800","800","800","800","800"
"10157","800","800","800","800","800"
"10158","800","800","800","800","800"
"10159","800","800","800","800","800"
"10160","800","800","800","800","800"
"10161","800","800","800","800","800"
"10162","800","800","800","800","800"
"10163","800","800","800","800","800"
"10164","800","800","800","800","800"
"10165","800","800","800","800","800"
"10166","800","800","800","800","800"
"10167","800","800","800","800","800"
"10168","800","800","800","800","800"
"10169","800","800","800","800","800"
"10170","800","800","800","800","800"
"10171","800","800","800","800","800"
"10172","800","800","800","800","800"
"10173","800","800","800","800","800"
"10174","800","800","800","800","800"
"10175","800","800","800","800","800"
"10176","800","800","800","800","800"
"10177","800","800","800","800","800"
"10178","800","800","800","800","800"
"10179","800","800","800","800","800"
"10180","800","800","800","800","800"
"10181","800","800","800","800","800"
"10182","800","800","800","800","800"
"10183","800","800","800","800","800"
"10184","800","800","800","800","800"
"10185","800","800","800","800","800"
"10186","800","800","800","800","800"
"10187","800","800","800","800","800"
"10188","800","800","800","800","800"
"10189","800","800","800","800","800"
"10190","800","800","800","800","800"
"10191","800","800","800","800","800"
"10192","800","800","800","800","800"
"10193","800","800","800","800","800"
"10194","800","800","800","800","800"
"10195","800","800","800","800","800"
"10196","800","800","800","800","800"
"10197","800","800","800","800","800"
"10198","800","800","800","800","800"
"10199","800","800","800","800","800"
"10200","800","800","800","800","800"
"10201","800","800","800","800","800"
"10202","800","800","800","800","800"
"10203","800","800","800","800","800"
"10204","800","800","800","800","800"
"10205","800","800","800","800","800"
"10206","800","800","800","800","800"
"10207","800","800","800","800","800"
"10208","800","800","800","800","800"
"10209","800","800","800","800","800"
"10210","800","800","800","800","800"
"10211","800","800","800","800","800"
"10212","800","800","800","800","800"
"10213","800","800","800","800","800"
"10214","800","800","800","800","800"
"10215","800","800","800","800","800"
"10216","800","800","800","800","800"
"10217","800","800","800","800","800"
"10218","800","800","800","800","800"
"10219","800","800","800","800","800"
"10220","800","800","800","800","800"
"10221","800","800","800","800","800"
"10222","800","800","800","800","800"
"10223","800","800","800","800","800"
"10224","800","800","800","800","800"
"10225","800","800","800","800","800"
"10226","800","800","800","800","800"
"10227","800","800","800","800","800"
"10228","800","800","800","800","800"
"10229","800","800","800","800","800"
"10230","800","800","800","800","800"
"10231","800","800","800","800","800"
"10232","800","800","800","800","800"
"10233","800","800","800","800","800"
"10234","800","800","800","800","800"
"10235","800","800","800","800","800"
"10236","800","800","800","800","800"
"10237","800","800","800","800","800"
"10238","800","800","800","800","800"
"10239","800","800","800","800","800"
"10240","800","800","800","800","800"
"10241","800","800","800","800","800"
"10242","800","800","800","800","800"
"10243","800","800","800","800","800"
"10244","800","800","800","800","800"
"10245","800","800","800","800","800"
"10246","800","800","800","800","800"
"10247","800","800","800","800","800"
"10248","800","800","800","800","800"
"10249","800","800","800","800","800"
