"Vaccine","Geographic Level","Geographic Name","Demographic Level","Demographic Name","Indicator_label","Indicator_category_label","influenza_season","Month_Week","Week_ending","Current_Season_Week_Ending_Label","Estimate","CI_Half_width_95pct","Unweighted Sample Size","Weighted Sample Size","Legend_Label","Indicator_Category_Label_Sort","Demographic_Level_Sort_Order","Geography_name_order","Geography_Level_Sort_Order","Season_Sort","Legend_Sort","suppression_flag"
,"National","National","Mother's Education","High school or equivalent","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","29.5977","1.6741","22466","10844468","2023-2024, National. Mother's Education: High school or equivalent","1","3","1","1","1","1010311","0"
,"National","National","Mother's Education","High school or equivalent","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","29.5977","1.6741","22466","10844468","2023-2024, National. Mother's Education: High school or equivalent",,"3","1","1","1","1010311","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","21.7158","8.6302","212","5877765","2023-2024, National. Mother's Education: Less than high school","4","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","16.9421","7.9646","212","5877765","2023-2024, National. Mother's Education: Less than high school","2","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","26.9351","10.3343","212","5877765","2023-2024, National. Mother's Education: Less than high school","3","3","1","1","1","1010310","0"
,"National","National","Mother's Education","Less than high school","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","34.407","2.914","8472","5877765","2023-2024, National. Mother's Education: Less than high school","1","3","1","1","1","1010310","0"
,"National","National","Overall","Overall","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","38.9995","0.8729","134358","70507625","2023-2024, National. Overall (6 months-17 years)",,"1","1","1","1","1010101","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","42.596","5.7102","850","16990389","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","4","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","12.3187","3.8308","850","16990389","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","2","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","13.5187","3.7639","850","16990389","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","3","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","31.5667","1.5865","30586","16990389","2023-2024, National. Poverty Status: Above Poverty, Income < $75k","1","4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income < $75k","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","31.5667","1.5865","30586","16990389","2023-2024, National. Poverty Status: Above Poverty, Income < $75k",,"4","1","1","1","1010415","0"
,"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","27.5658","3.5378","1923","34056618","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","4","4","1","1","1","1010414","0"
,"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","14.1671","2.639","1923","34056618","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","2","4","1","1","1","1010414","0"
,"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","13.6137","2.6274","1923","34056618","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","3","4","1","1","1","1010414","0"
,"National","National","Poverty Status","Above Poverty, Income >= $75k","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","44.6534","1.3491","69842","34056618","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k","1","4","1","1","1","1010414","0"
,"National","National","Poverty Status","Above Poverty, Income >= $75k","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","44.6534","1.3491","69842","34056618","2023-2024, National. Poverty Status: Above Poverty, Income >= $75k",,"4","1","1","1","1010414","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","29.7408","7.5159","463","10169736","2023-2024, National. Poverty Status: Below Poverty","4","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","15.1448","5.3057","463","10169736","2023-2024, National. Poverty Status: Below Poverty","2","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","21.5747","7.3305","463","10169736","2023-2024, National. Poverty Status: Below Poverty","3","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Below Poverty","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","33.5397","2.0313","17228","10169736","2023-2024, National. Poverty Status: Below Poverty","1","4","1","1","1","1010416","0"
,"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","34.6608","7.3951","456","9290883","2023-2024, National. Poverty Status: Poverty Status Unknown","4","4","1","1","1","1010417","0"
,"National","National","Poverty Status","Below Poverty","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","33.5397","2.0313","17228","10169736","2023-2024, National. Poverty Status: Below Poverty",,"4","1","1","1","1010416","0"
,"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","14.0097","5.8587","456","9290883","2023-2024, National. Poverty Status: Poverty Status Unknown","2","4","1","1","1","1010417","0"
,"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","17.0579","6.0894","456","9290883","2023-2024, National. Poverty Status: Poverty Status Unknown","3","4","1","1","1","1010417","0"
,"National","National","Poverty Status","Poverty Status Unknown","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","34.2716","1.9003","16702","9290883","2023-2024, National. Poverty Status: Poverty Status Unknown","1","4","1","1","1","1010417","0"
,"National","National","Poverty Status","Poverty Status Unknown","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","34.2716","1.9003","16702","9290883","2023-2024, National. Poverty Status: Poverty Status Unknown",,"4","1","1","1","1010417","0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","36.1188","9.0446","349","9799285","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","4","5","1","1","1","1010518","0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","15.0693","5.8518","349","9799285","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","2","5","1","1","1","1010518","0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","17.0123","6.684","349","9799285","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","3","5","1","1","1","1010518","0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","31.7996","1.6469","12751","9799285","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic","1","5","1","1","1","1010518","0"
,"National","National","Race and Ethnicity","Black, Non-Hispanic","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","31.7996","1.6469","12751","9799285","2023-2024, National. Race/Ethnicity: Black, Non-Hispanic",,"5","1","1","1","1010518","0"
,"National","National","Race and Ethnicity","Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","24.9515","4.8016","795","18292979","2023-2024, National. Race/Ethnicity: Hispanic","4","5","1","1","1","1010519","0"
,"National","National","Race and Ethnicity","White, Non-Hispanic","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","40.0883","1.2866","72542","34428570","2023-2024, National. Race/Ethnicity: White, Non-Hispanic","1","5","1","1","1","1010520","0"
,"National","National","Race and Ethnicity","White, Non-Hispanic","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","40.0883","1.2866","72542","34428570","2023-2024, National. Race/Ethnicity: White, Non-Hispanic",,"5","1","1","1","1010520","0"
,"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","51.1251","7.9035","541","7988860","2023-2024, National. Urbanicity: Rural (Non-MSA)","4","6","1","1","1","1010622","0"
,"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","10.4454","5.2161","541","7988860","2023-2024, National. Urbanicity: Rural (Non-MSA)","2","6","1","1","1","1010622","0"
,"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","11.3191","4.8217","541","7988860","2023-2024, National. Urbanicity: Rural (Non-MSA)","3","6","1","1","1","1010622","0"
,"National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","27.1104","1.4747","22857","7988860","2023-2024, National. Urbanicity: Rural (Non-MSA)","1","6","1","1","1","1010622","0"
,"National","National","Urbanicity","Rural (Non-MSA)","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","27.1104","1.4747","22857","7988860","2023-2024, National. Urbanicity: Rural (Non-MSA)",,"6","1","1","1","1010622","0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","31.4507","3.5216","1980","39504386","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","4","6","1","1","1","1010623","0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","14.2378","2.5567","1980","39504386","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","2","6","1","1","1","1010623","0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","14.3383","2.6161","1980","39504386","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","3","6","1","1","1","1010623","0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","39.9733","1.2966","65965","39504386","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)","1","6","1","1","1","1010623","0"
,"National","National","Urbanicity","Suburban (MSA Non-Principal City)","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","39.9733","1.2966","65965","39504386","2023-2024, National. Urbanicity: Suburban (MSA Non-Principal City)",,"6","1","1","1","1010623","0"
,"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","26.7262","4.3042","1171","23014380","2023-2024, National. Urbanicity: Urban MSA Principal City","4","6","1","1","1","1010624","0"
,"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","14.2266","3.3898","1171","23014380","2023-2024, National. Urbanicity: Urban MSA Principal City","2","6","1","1","1","1010624","0"
,"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","17.5428","3.9001","1171","23014380","2023-2024, National. Urbanicity: Urban MSA Principal City","3","6","1","1","1","1010624","0"
,"National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","41.5044","1.3761","45536","23014380","2023-2024, National. Urbanicity: Urban MSA Principal City","1","6","1","1","1","1010624","0"
,"National","National","Urbanicity","Urban (MSA Principal City)","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","41.5044","1.3761","45536","23014380","2023-2024, National. Urbanicity: Urban MSA Principal City",,"6","1","1","1","1010624","0"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","18.7915","5.6255","444","2814403","2023-2024, Region 1. Overall (6 months-17 years)","4","1","2","2","1","1020101","0"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","18.3072","5.7451","444","2814403","2023-2024, Region 1. Overall (6 months-17 years)","2","1","2","2","1","1020101","0"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","11.5649","4.8515","444","2814403","2023-2024, Region 1. Overall (6 months-17 years)","3","1","2","2","1","1020101","0"
,"Region","Region 1","Overall","Overall","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","51.3364","3.4966","11480","2814403","2023-2024, Region 1. Overall (6 months-17 years)","1","1","2","2","1","1020101","0"
,"Region","Region 10","Overall","Overall","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","28.147","9.3507","179","3044818","2023-2024, Region 10. Overall (6 months-17 years)","4","1","11","2","1","1110101","0"
,"Region","Region 1","Overall","Overall","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","51.3364","3.4966","11480","2814403","2023-2024, Region 1. Overall (6 months-17 years)",,"1","2","2","1","1020101","0"
,"Region","Region 10","Overall","Overall","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","13.5267","6.9111","179","3044818","2023-2024, Region 10. Overall (6 months-17 years)","2","1","11","2","1","1110101","0"
,"Region","Region 10","Overall","Overall","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","20.8449","9.3537","179","3044818","2023-2024, Region 10. Overall (6 months-17 years)","3","1","11","2","1","1110101","0"
,"National","National","Age","12-17 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","36.8909","4.7242","1074","26083840","2023-2024, National. Age: 12-17 years","4","2","1","1","1","1010207","0"
,"National","National","Age","12-17 years","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","12.398","3.1708","1074","26083840","2023-2024, National. Age: 12-17 years","2","2","1","1","1","1010207","0"
,"National","National","Age","12-17 years","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","16.4297","3.6939","1074","26083840","2023-2024, National. Age: 12-17 years","3","2","1","1","1","1010207","0"
,"National","National","Age","12-17 years","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","34.2814","1.2205","40805","26083840","2023-2024, National. Age: 12-17 years","1","2","1","1","1","1010207","0"
,"National","National","Age","12-17 years","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","34.2814","1.2205","40805","26083840","2023-2024, National. Age: 12-17 years",,"2","1","1","1","1010207","0"
,"National","National","Age","13-17 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","37.6323","5.071","864","21537622","2023-2024, National. Age: 13-17 years","4","2","1","1","1","1010209","0"
,"National","National","Age","13-17 years","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","11.8947","3.428","864","21537622","2023-2024, National. Age: 13-17 years","2","2","1","1","1","1010209","0"
,"National","National","Age","13-17 years","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","16.7259","4.0447","864","21537622","2023-2024, National. Age: 13-17 years","3","2","1","1","1","1010209","0"
,"National","National","Age","13-17 years","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","33.7471","1.3915","31753","21537622","2023-2024, National. Age: 13-17 years","1","2","1","1","1","1010209","0"
,"National","National","Age","13-17 years","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","33.7471","1.3915","31753","21537622","2023-2024, National. Age: 13-17 years",,"2","1","1","1","1010209","0"
,"National","National","Age","5-11 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","30.1335","3.9128","1295","27663238","2023-2024, National. Age: 5-11 years","4","2","1","1","1","1010206","0"
,"National","National","Age","5-11 years","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","15.9273","3.2443","1295","27663238","2023-2024, National. Age: 5-11 years","2","2","1","1","1","1010206","0"
,"National","National","Age","5-11 years","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","13.2485","2.9301","1295","27663238","2023-2024, National. Age: 5-11 years","3","2","1","1","1","1010206","0"
,"National","National","Age","5-11 years","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","40.6906","1.5452","48927","27663238","2023-2024, National. Age: 5-11 years","1","2","1","1","1","1010206","0"
,"National","National","Age","5-11 years","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","40.6906","1.5452","48927","27663238","2023-2024, National. Age: 5-11 years",,"2","1","1","1","1010206","0"
,"National","National","Age","5-12 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","30.4514","3.6976","1505","32209456","2023-2024, National. Age: 5-12 years","4","2","1","1","1","1010208","0"
,"National","National","Age","5-12 years","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","15.9256","3.0437","1505","32209456","2023-2024, National. Age: 5-12 years","2","2","1","1","1","1010208","0"
,"National","National","Age","5-12 years","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","13.4344","2.7182","1505","32209456","2023-2024, National. Age: 5-12 years","3","2","1","1","1","1010208","0"
,"National","National","Age","5-12 years","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","40.1886","1.3701","57979","32209456","2023-2024, National. Age: 5-12 years","1","2","1","1","1","1010208","0"
,"National","National","Age","5-12 years","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","40.1886","1.3701","57979","32209456","2023-2024, National. Age: 5-12 years",,"2","1","1","1","1010208","0"
,"National","National","Age","5-17 years","4-level vaccination and intent","Definitely or probably will not get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","33.3794","3.0843","2369","53747078","2023-2024, National. Age: 5-17 years","4","2","1","1","1","1010205","0"
,"National","National","Age","5-17 years","4-level vaccination and intent","Definitely will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","14.1806","2.2761","2369","53747078","2023-2024, National. Age: 5-17 years","2","2","1","1","1","1010205","0"
,"National","National","Age","5-17 years","4-level vaccination and intent","Probably will get a vaccine","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","14.7781","2.3465","2369","53747078","2023-2024, National. Age: 5-17 years","3","2","1","1","1","1010205","0"
,"National","National","Age","5-17 years","4-level vaccination and intent","Received a vaccination","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","37.6619","1.0149","89732","53747078","2023-2024, National. Age: 5-17 years","1","2","1","1","1","1010205","0"
,"National","National","Age","5-17 years","Up-to-date","Yes","2023-2024","November Week 4","2023 Nov 25 12:00:00 AM","2024-11-23","37.6619","1.0149","89732","53747078","2023-2024, National. Age: 5-17 years",,"2","1","1","1","1010205","0"
