"Vaccine","Geographic Level","Geographic Name","Demographic Level","Demographic Name","indicator_label","indicator_category_label","Month_Week","Week_ending","Estimates","CI_Half_width_95pct","Unweighted Sample Size","Current_Season_Week_Ending","Influenza_Season","suppression_flag"
"FLU","National","National","Race and Ethnicity","Other, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","4.8","3.2317","853","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Georgia","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","42.8","8.4036","171","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Black, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","6.5","3.2796","908","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Hawaii","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","50.2","2.1607","10,590","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Other, Non-Hispanic","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","43","2.0353","35,775","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Idaho","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","2.8","3.8353","90","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Multiple or Other Races, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","3.2","2.4321","336","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Idaho","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","11.2","7.1305","90","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Pacific Islander/Native Hawaiian, Non-Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","50.6","8.1992","38","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Illinois","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","47.1","1.4628","18,119","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Multiple or Other Races, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","18.9","7.9841","336","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Indiana","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","5.9","3.8121","144","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Pacific Islander/Native Hawaiian, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","7.5","5.5253","38","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Indiana","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","43.4","2.1225","7,384","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Multiple or Other Races, Non-Hispanic","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","35.1","2.7657","13,678","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Indiana","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","43.4","2.1225","7,384","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","White, Non-Hispanic","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","47.9","0.7933","250,953","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Iowa","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","16.4","5.7918","208","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Other, Non-Hispanic","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","32.9","5.8791","853","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Kansas","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","35.7","8.6777","134","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sex","Female","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","13.3","2.093","5,277","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Kentucky","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","41.7","11.2408","105","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Other, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","19.3","5.2435","853","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Kentucky","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","0.9","1.4316","105","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sex","Female","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","48.1","0.8872","203,903","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Louisiana","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","38.2","2.3844","6,208","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Other, Non-Hispanic","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","43","2.0353","35,775","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Maine","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","52.9","2.1152","9,140","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sex","Male","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","16.9","2.2185","4,931","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Maine","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","52.9","2.1152","9,140","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Pacific Islander/Native Hawaiian, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","0.8","1.1211","38","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Maryland","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","50.8","3.5001","4,447","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Don't Know/Refused","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","7.1","5.0358","696","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Maryland","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","50.8","3.5001","4,447","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","Pacific Islander/Native Hawaiian, Non-Hispanic","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","41.2","6.472","1,822","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Massachusetts","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","26.5","6.5605","292","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Don't Know/Refused","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","43.8","2.4327","23,844","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Massachusetts","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","55.1","2.2476","9,042","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","White, Non-Hispanic","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","4.2","1.2754","6,509","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Michigan","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","5","2.8809","96","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Gay/Lesbian/Bisexual/Other","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","4.5","2.7324","716","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Minnesota","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","37","8.1641","148","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Race and Ethnicity","White, Non-Hispanic","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","10.7","1.4571","6,509","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Minnesota","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","50.7","2.1735","8,525","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Straight","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","36.7","2.1622","8,726","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Minnesota","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","50.7","2.1735","8,525","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sex","Female","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","33.5","2.7919","5,277","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Mississippi","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","35.4","9.6256","145","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Straight","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","14.1","1.623","8,726","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Mississippi","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","19.4","8.6652","145","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sex","Female","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","48.1","0.8872","203,903","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Mississippi","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","40.6","2.6478","4,548","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","3.2","1.1998","1,960","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Mississippi","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","40.6","2.6478","4,548","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sex","Male","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","38.2","2.9153","4,931","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Missouri","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","39.4","12.1377","86","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Rural (Non-MSA)","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","38.8","1.3525","74,340","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Missouri","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","43.9","4.1684","2,803","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Don't Know/Refused","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","15.7","5.7969","696","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Montana","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","39.9","11.3618","99","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","5.3","1.5318","5,548","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Nebraska","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","36.9","9.2491","121","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Gay/Lesbian/Bisexual/Other","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","23.5","6.3712","716","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Nebraska","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","47.3","2.4345","4,815","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","44.6","0.853","198,374","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Nebraska","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","47.3","2.4345","4,815","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Gay/Lesbian/Bisexual/Other","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","45.7","2.2927","29,575","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Nevada","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","35.9","2.446","5,076","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 1","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","29.9","4.8056","1,524","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New Hampshire","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","3.9","2.3626","434","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Sexual Orientation","Straight","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","5","1.16","8,726","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New Hampshire","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","10.5","3.4753","434","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 1","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","4.5","2.0726","1,524","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New Jersey","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","32.6","6.8954","262","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","45.3","4.5101","1,960","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New Jersey","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","5","3.1838","262","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 1","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","11.2","3.1829","1,524","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New Jersey","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","46","1.9664","9,020","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","12.6","2.6645","1,960","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New Mexico","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","41.4","11.2442","119","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 1","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","54.5","1.7383","40,307","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New York","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","17","5.7868","361","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Rural (Non-MSA)","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","38.8","1.3525","74,340","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","New York","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","47","2.3261","11,605","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 10","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","34.6","9.4006","349","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","North Carolina","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","12","4.0468","300","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","35.4","2.5469","5,548","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","North Carolina","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","43.4","2.3484","6,828","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 2","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","44.3","1.5972","33,290","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","North Dakota","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","14.9","7.6419","120","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Suburban (MSA Non-Principal City)","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","14.7","2.0401","5,548","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","North Dakota","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","44.7","2.6538","4,555","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 3","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","31.1","4.2706","1,577","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Ohio","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","9.5","13.3607","52","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","31.8","4.0282","2,700","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Oklahoma","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","7.7","4.7485","154","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 3","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","4.7","1.7932","1,577","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Oklahoma","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","39.3","2.1613","6,996","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","5.4","1.6822","2,700","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Oregon","Overall","18+ years","4-level vaccination and intent","Definitely or probably will not get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","40.8","9.6996","109","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 3","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","15.5","3.1311","1,577","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Puerto Rico","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","29","3.9522","740","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","16.6","3.0425","2,700","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Puerto Rico","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","27.5","1.4181","10,941","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 3","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","48.6","1.3723","66,740","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Rhode Island","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","14.2","8.2266","128","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","National","National","Urbanicity","Urban (MSA Principal City)","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","46.2","1.2688","113,809","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Rhode Island","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","53.5","3.2441","3,514","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 4","Overall","18+ years","4-level vaccination and intent","Probably will get a vaccine or are unsure","February Week 2","2025 Feb 08 12:00:00 AM","15.3","3.505","1,362","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","Rhode Island","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","53.5","3.2441","3,514","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 10","Overall","18+ years","4-level vaccination and intent","Received a vaccination","February Week 2","2025 Feb 08 12:00:00 AM","45.5","2.7422","20,398","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","State","South Carolina","Overall","18+ years","4-level vaccination and intent","Definitely will get a vaccine","February Week 2","2025 Feb 08 12:00:00 AM","6.1","3.3029","213","2025 Feb 08 12:00:00 AM","2024-2025","0"
"FLU","Region","Region 4","Overall","18+ years","Up-to-date","Yes","February Week 2","2025 Feb 08 12:00:00 AM","38.6","1.3603","46,323","2025 Feb 08 12:00:00 AM","2024-2025","0"
